https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDP,tradecount
1641340800000,2022-01-05,BTCUSDP,45834.95,47009.71,42500.0,43453.15,35.06327,1592756.5272855,1269
1641254400000,2022-01-04,BTCUSDP,46288.58,47498.33,45612.87,45945.11,14.53257,675428.1097516,343
1641168000000,2022-01-03,BTCUSDP,47160.04,47493.39,45799.16,46520.83,12.9815,602843.8463656,445
1641081600000,2022-01-02,BTCUSDP,47765.62,47892.37,46622.98,47333.11,10.16398,479856.9373173,550
1640995200000,2022-01-01,BTCUSDP,46437.79,47877.85,46250.81,47709.48,11.10502,523290.4997185,403
1640908800000,2021-12-31,BTCUSDP,47365.15,48543.3,45658.41,46255.74,12.23051,573419.4976017,361
1640822400000,2021-12-30,BTCUSDP,46366.06,47903.98,45981.66,46937.78,9.94795,466607.0207155,414
1640736000000,2021-12-29,BTCUSDP,47612.51,48184.59,46174.68,46444.42,16.58334,782017.5849089,567
1640649600000,2021-12-28,BTCUSDP,50675.47,50696.61,47388.89,47687.98,27.6763,1341660.0795194,735
1640563200000,2021-12-27,BTCUSDP,50875.22,52072.71,50527.9,50823.3,8.60232,439363.9358249,412
1640476800000,2021-12-26,BTCUSDP,50351.26,51189.7,49579.57,50750.71,10.19998,513710.3614623,275
1640390400000,2021-12-25,BTCUSDP,50701.83,51110.1,50245.81,50589.62,4.11794,208961.2730291,245
1640304000000,2021-12-24,BTCUSDP,50819.24,51713.9,50445.45,50848.15,4.6576,238209.5725242,338
1640217600000,2021-12-23,BTCUSDP,48473.48,51266.69,48153.2,50592.53,7.29206,364682.857627,313
1640131200000,2021-12-22,BTCUSDP,49029.16,49513.68,48422.99,48592.19,4.38568,213595.215965,329
1640044800000,2021-12-21,BTCUSDP,47011.44,49300.31,46778.17,49053.05,9.06763,437986.1486477,354
1639958400000,2021-12-20,BTCUSDP,46397.24,47504.11,45575.26,46935.81,9.19828,428149.3506904,2102
1639872000000,2021-12-19,BTCUSDP,46752.7,48269.31,46519.98,46860.99,13.23713,627396.2446408,346
