https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDC,tradecount
1615334400000,2021-03-10,BTCUSDC,54893.57,57400.0,53030.0,55881.84,2442.66238,135664300.84572476,50157
1615248000000,2021-03-09,BTCUSDC,52403.3,54900.0,51854.85,54900.0,2114.069026,114100321.08803698,45964
1615161600000,2021-03-08,BTCUSDC,50980.49,52423.36,49318.79,52423.32,1995.944236,101379917.40597317,40109
1615075200000,2021-03-07,BTCUSDC,48915.02,51469.78,48915.02,50979.57,1429.356213,71885496.60582852,29829
1614988800000,2021-03-06,BTCUSDC,48787.96,49204.79,47068.13,48893.51,1125.150873,54329641.51987682,23056
1614902400000,2021-03-05,BTCUSDC,48348.75,49483.43,46296.16,48741.18,2163.308105,103108525.05093348,43148
1614816000000,2021-03-04,BTCUSDC,50381.67,51785.71,47500.0,48360.96,2542.465502,125019288.05185492,51891
1614729600000,2021-03-03,BTCUSDC,48462.4,52667.39,48137.77,50379.88,2318.723783,117809559.02748273,44196
1614643200000,2021-03-02,BTCUSDC,49647.3,50262.96,47060.0,48494.34,2097.905702,101810247.36996898,38940
1614556800000,2021-03-01,BTCUSDC,45243.69,49850.0,45031.37,49647.3,2942.353509,140595628.9199396,48850
1614470400000,2021-02-28,BTCUSDC,46141.75,46675.22,43000.0,45215.21,2818.147904,125614928.5256908,50715
1614384000000,2021-02-27,BTCUSDC,46301.59,48369.99,45000.0,46167.3,1759.600683,82725873.99262832,38305
1614297600000,2021-02-26,BTCUSDC,47082.14,48450.0,44112.0,46367.18,3936.663434,183297983.92875844,75888
1614211200000,2021-02-25,BTCUSDC,49698.82,52072.02,46702.5,47029.58,3538.668205,176848237.5610592,67171
1614124800000,2021-02-24,BTCUSDC,48876.11,51412.64,46989.91,49694.58,3450.7451,171811674.09486017,68181
1614038400000,2021-02-23,BTCUSDC,54101.03,54218.22,44901.96,48878.02,6957.534648,337509988.5709366,148263
1613952000000,2021-02-22,BTCUSDC,57463.71,57561.55,47701.0,54110.42,5641.997695,303130485.24196786,108371
1613865600000,2021-02-21,BTCUSDC,55894.86,58367.75,55520.21,57484.39,1903.959506,108463554.53465813,40817
1613779200000,2021-02-20,BTCUSDC,55919.45,57584.45,53444.57,55900.0,2339.565305,131425913.66540033,59868
1613692800000,2021-02-19,BTCUSDC,51581.01,56414.43,50627.41,55919.45,2794.088065,149162698.77082208,66987
1613606400000,2021-02-18,BTCUSDC,52147.31,52541.74,50882.83,51592.33,2255.373924,116910427.57867676,48717
1613520000000,2021-02-17,BTCUSDC,49157.32,52637.5,48950.66,52122.96,2694.39073,137505531.21207377,58860
1613433600000,2021-02-16,BTCUSDC,47916.82,50644.84,47022.88,49145.89,2585.964327,126619059.64040232,56526
1613347200000,2021-02-15,BTCUSDC,48626.59,49033.9,45777.81,47905.52,2384.181723,113668044.98785035,52313
1613260800000,2021-02-14,BTCUSDC,47227.37,49735.42,47080.0,48629.31,1962.701175,95347718.99610664,43931
1613174400000,2021-02-13,BTCUSDC,47424.7,48206.2,46210.36,47214.7,2035.610661,96063215.62184577,43355
1613088000000,2021-02-12,BTCUSDC,48007.4,48999.0,46191.22,47446.08,3020.949948,143659169.96995944,55955
1613001600000,2021-02-11,BTCUSDC,44844.88,48692.99,44007.78,47997.3,2685.789315,126042879.34257908,51625
1612915200000,2021-02-10,BTCUSDC,46480.68,47379.74,43741.91,44858.18,3472.690116,158239756.02866268,68657
1612828800000,2021-02-09,BTCUSDC,46457.14,48216.56,45000.0,46488.27,4025.386589,187837003.2545057,75108
1612742400000,2021-02-08,BTCUSDC,38860.36,47500.0,37000.0,46452.01,4452.160613,189569359.3598868,81315
1612656000000,2021-02-07,BTCUSDC,39281.34,39742.88,37376.72,38866.41,2805.701513,108391537.97266953,52070
1612569600000,2021-02-06,BTCUSDC,38341.86,41000.0,38233.51,39256.58,2762.273494,109880151.25475045,52277
