[2025-12-14 13:58:37,987][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:58:50,305][INFO] [UI] Features calculées.
[2025-12-14 13:58:50,321][INFO] [UI] Signal de trading : hold
[2025-12-14 13:58:50,321][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:59:02,611][INFO] [UI] Features calculées.
[2025-12-14 13:59:02,611][INFO] [UI] Signal de trading : hold
[2025-12-14 13:59:02,626][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:59:14,948][INFO] [UI] Features calculées.
[2025-12-14 13:59:14,948][INFO] [UI] Signal de trading : hold
[2025-12-14 13:59:14,948][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:59:27,281][INFO] [UI] Features calculées.
[2025-12-14 13:59:27,281][INFO] [UI] Signal de trading : hold
[2025-12-14 13:59:27,281][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:59:39,668][INFO] [UI] Features calculées.
[2025-12-14 13:59:39,684][INFO] [UI] Signal de trading : hold
[2025-12-14 13:59:39,684][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:59:52,026][INFO] [UI] Features calculées.
[2025-12-14 13:59:52,026][INFO] [UI] Signal de trading : hold
[2025-12-14 13:59:52,026][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:00:04,353][INFO] [UI] Features calculées.
[2025-12-14 14:00:04,368][INFO] [UI] Signal de trading : hold
[2025-12-14 14:00:04,368][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:00:16,669][INFO] [UI] Features calculées.
[2025-12-14 14:00:16,684][INFO] [UI] Signal de trading : hold
[2025-12-14 14:00:16,684][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 14:00:29,023][INFO] [UI] Features calculées.
[2025-12-14 14:00:29,039][INFO] [UI] Signal de trading : hold
[2025-12-14 14:00:29,039][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
